,TCGA_ID,C_max,C_min,C_ic,ic_enrich,max_enrich,y_enrich,y_enrich_ratio,x_enrich,x_enrich_ratio
1,TCGA_B6_A0RG_01,5.086658171,0.007674907,5.086658171,662.7647874,1,1.753177109,1,24.71487452,1
2,TCGA_AO_A12F_01,10.5910977,0.010221375,10.5910977,1036.17156,1,1.773113406,1,23.51452412,1
3,TCGA_D8_A27F_01,14.16678948,0.013467758,14.16678947,1051.904079,1,1.451052388,1,28.18711655,1
4,TCGA_A8_A07O_01,16.95806084,0.015109176,16.95806081,1122.368328,0.999999998,1.490194273,1,24.8716568,0.999999998
5,TCGA_D8_A1XQ_01,7.077164765,0.006942492,7.077164765,1019.39837,1,2.105106013,1,23.22292695,1
6,TCGA_D8_A27H_01,7.442287381,0.006888407,7.442287377,1080.407619,0.999999999,2.133572682,1,24.31087302,0.999999999
7,TCGA_AN_A0AR_01,13.16550676,0.009126442,13.16550675,1442.567296,0.999999999,2.034616628,1,25.86899347,0.999999999
8,TCGA_AO_A129_01,11.5661091,0.007501515,11.5661091,1541.836399,1,2.264500109,1,29.48110485,1
9,TCGA_A8_A07C_01,24.86270777,0.001377152,24.86270777,18053.70765,1,24.24907877,1,45.62014939,1
10,TCGA_A2_A0YM_01,13.78066763,0.011549507,13.78066762,1193.182301,0.999999999,1.717591183,1,25.2246168,0.999999999
11,TCGA_AO_A0J6_01,14.57622499,0.009914791,14.57622498,1470.149542,1,2.178314577,1,20.6396684,1
12,TCGA_D8_A27M_01,6.86632176,0.010303668,6.86632176,666.3958845,1,1.568686689,1,24.50089108,1
13,TCGA_EW_A1OW_01,10.62897262,0.009946259,10.62897262,1068.640225,1,1.627113183,1,31.40653706,1
14,TCGA_AR_A0TU_01,21.80556142,0.016237227,21.80556141,1342.9363,1,1.868717294,1,13.60839617,1
15,TCGA_A2_A0SX_01,6.63475644,0.009037979,6.634756377,734.0973048,0.99999999,1.926775493,1,22.0525834,0.99999999
16,TCGA_AN_A0FL_01,5.721332008,0.01020694,5.721332008,560.5335404,1,1.345753614,1,29.80355223,1
17,TCGA_A7_A26F_01,7.984640064,0.008055593,7.984640064,991.1921295,1,2.589846814,1,18.02737537,1
18,TCGA_A2_A0D2_01,17.01053107,0.016502921,17.01053106,1030.758831,0.999999999,1.335893791,1,26.96888885,0.999999999
19,TCGA_B6_A0RT_01,10.0156614,0.006577799,10.0156614,1522.646356,1,2.467206752,1,29.84773651,1
20,TCGA_BH_A18Q_01,8.064290129,0.005061698,8.064290129,1593.198694,1,2.705268336,1,34.12059142,1
21,TCGA_B6_A0IQ_01,13.64058054,0.011413235,13.64058054,1195.154606,1,1.638551885,1,29.51544582,1
22,TCGA_A2_A04P_01,11.02825143,0.016575365,11.02825143,665.3398682,1,1.19458316,1,25.70854008,1
23,TCGA_BH_A0BL_01,7.869029985,0.004110501,7.869029985,1914.372608,1,3.585314732,1,33.30135068,1
24,TCGA_A8_A08R_01,15.77519945,0.014835201,15.77519941,1063.362695,0.999999998,1.595496896,1,17.01592426,0.999999998
25,TCGA_AR_A0TS_01,8.934680997,0.009465942,8.934680997,943.8765512,1,1.422721246,1,46.97808846,1
26,TCGA_BH_A18V_01,17.30911043,0.008830646,17.30911041,1960.118267,0.999999999,2.591657679,1,29.26068945,0.999999999
27,TCGA_BH_A1FC_01,19.52559156,0.013261779,19.52559156,1472.320645,1,2.011047759,1,18.86282147,1
28,TCGA_E2_A158_01,5.219789306,0.007995792,5.219789302,652.8170418,0.999999999,1.762706846,1,24.62440784,0.999999999
29,TCGA_E2_A150_01,5.719816204,0.007528252,5.719816204,759.7801558,1,1.470993069,1,45.58635853,1
30,TCGA_AN_A0AL_01,9.269456184,0.011118524,9.269456173,833.6948626,0.999999999,1.498273355,1,27.61967028,0.999999999
31,TCGA_AO_A0J4_01,11.81467334,0.00709513,11.8146733,1665.180668,0.999999997,2.629997142,1,30.21317044,0.999999997
32,TCGA_A2_A0T2_01,4.012839666,0.006465028,4.012839657,620.6995425,0.999999998,1.648219046,1,32.95611152,0.999999998
